Dadel, geconfijt;286,0;1199,0;24,2;1,8;65,0;63,5;0,0;0,0;0,0;0,0;0,0;8,0
Dadels, vers;152,0;638,0;58,8;2,2;33,0;29,0;0,0;0,0;0,0;0,0;0,0;5,0
Dagoeblad;35,0;150,0;89,5;3,5;4,8;0,0;0,0;0,0;0,0;0,0;0,0;1,2
Danish blue;377,0;1581,0;46,0;19,0;0,0;0,0;34,0;21,5;9,0;1,2;90,0;0,0
Dieetolie;883,0;3700,0;0,0;0,0;0,0;0,0;100,0;12,0;21,0;66,0;0,0;0,0
Donut, gevuld gem.;372,0;1560,0;35,5;7,0;31,0;10,0;24,5;7,0;8,0;7,5;25,0;1,0
Donut, ongevuld gem.;440,0;1845,0;18,5;4,5;50,0;15,0;24,5;6,5;8,5;7,5;40,0;1,5
Donut, ongevuld gesuikerd gem;416,0;1744,0;21,5;5,5;48,5;18,0;22,0;6,5;7,1;6,5;30,0;1,5
Doperwten, bereid;86,0;363,0;75,0;5,0;14,0;1,0;0,0;0,0;0,0;0,0;0,0;5,0
Doperwten, blik;88,0;372,0;75,5;6,5;10,8;1,5;1,0;0,5;0,0;0,0;0,0;5,2
Doperwten, vers;64,0;269,0;80,4;4,5;8,9;1,8;0,0;0,0;0,0;0,0;0,0;5,2
Dressing, gemiddeld;372,0;1559,0;51,2;0,7;9,6;6,1;37,4;3,6;14,0;19,0;2,0;0,1
Dressing, zonder olie;49,0;207,0;86,7;0,1;12,0;10,5;0,0;0,0;0,0;0,0;0,0;0,2
Drop, dubbelzout;332,0;1394,0;17,0;10,0;72,0;35,0;0,0;0,0;0,0;0,0;0,0;0,0
Drop, Engelse;383,0;1602,0;8,6;3,1;81,0;64,0;5,2;4,0;0,7;0,3;0,0;1,1
Drop, zoete;349,0;1462,0;13,0;11,0;75,0;74,0;0,0;0,0;0,0;0,0;0,0;0,0
Drop, zoute;341,0;1428,0;15,0;10,0;74,0;73,0;0,0;0,0;0,0;0,0;0,0;0,0
Druiven, blauw;53,0;224,0;85,2;0,9;11,5;11,0;0,1;0,0;0,0;0,0;0,0;1,3
Druiven, wit;57,0;242,0;84,5;0,5;13,5;13,3;0,0;0,0;0,0;0,0;0,0;0,5
Druivenpitolie;879,0;3681,0;0,0;0,0;0,0;0,0;99,5;11,7;16,7;67,4;0,0;0,0
Druivensap;69,0;290,0;81,9;0,2;16,9;16,5;0,0;0,0;0,0;0,0;0,0;0,0
